CodeN1,"Niv. 1 (Domaine d'activité général)",CodeN2,"Niv. 2(précision sur le domaine d'activité)",CodeN3,"Niv. 3(précision du type d'exercice professionnel si besoin)",CodeN4,"Niv. 4(précision détaillée du type de profession si besoin)",Code final
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,01,"Céréales, légumineuses, graine oléagineuse",01010101
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,02,riz,01010102
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,03,"légumes, melons, racines et tubercules",01010103
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,04,canne à sucre,01010104
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,05,tabac,01010105
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,06,plante à fibres,01010106
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,07,autres cultures non permanentes,01010107
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,08,vigne,01010108
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,09,fruit à pépins ou à noyau,01010109
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,10,fruits tropicaux et subtropicaux ,01010110
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,11,agrumes,01010111
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,12,fruits oléagineux ,01010112
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,13,"autres fruits d’arbres ou d’arbustes, fruits à coques",01010113
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,14,plantes à boisson ,01010114
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,15,"plantes à épices aromatiques, médicinales et pharmaceutiques",01010115
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,01,Culture,16,autres cultures permanentes,01010116
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,02,Reproduction de plantes,00,,01010200
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,03,Production animale,01,vaches laitières,01010301
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,03,Production animale,02,autres bovins et buffles,01010302
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,03,Production animale,03,chevaux et autres équidés,01010303
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,03,Production animale,04,chameaux et autres camélidés ,01010304
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,03,Production animale,05,ovins et caprins,01010305
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,03,Production animale,06,porcins ,01010306
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,03,Production animale,07,volailles,01010307
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,03,Production animale,08,autres animaux,01010308
01,"Agriculture, sylviculture et pêche",01,Culture et élevage,04,Culture et élevage associés,00,,01010400
01,"Agriculture, sylviculture et pêche",02,Activités de soutien aux cultures ,00,,00,,01020000
01,"Agriculture, sylviculture et pêche",03,Activités de soutien à la production animale,01,Activités diverses de soutien à la production animale,00,,01030100
01,"Agriculture, sylviculture et pêche",03,Activités de soutien à la production animale,02,Maréchalerie.,00,,01030200
01,"Agriculture, sylviculture et pêche",03,Activités de soutien à la production animale,03,Nettoyage de locaux agricoles,00,,01030300
01,"Agriculture, sylviculture et pêche",03,Activités de soutien à la production animale,04," Prise en pension de chevaux, Services de haras, Centre de remise en forme pour équidés  ",00,,01030400
01,"Agriculture, sylviculture et pêche",03,Activités de soutien à la production animale,07,Entretien et soins des animaux d'élevage ,00,,01030700
01,"Agriculture, sylviculture et pêche",09,Traitement primaire des récoltes,00,,00,,01090000
01,"Agriculture, sylviculture et pêche",04,Traitement des semences,01,amélioration de la qualité des semences ,00,,01040100
01,"Agriculture, sylviculture et pêche",04,Traitement des semences,02," séchage, nettoyage, triage et traitement des semences",00,,01040200
01,"Agriculture, sylviculture et pêche",05,"Chasse, piégeage et services annexes",01,Pour la protection des cultures ou des élévages,00,,01050100
01,"Agriculture, sylviculture et pêche",05,"Chasse, piégeage et services annexes",02,Autre,00,,01050200
01,"Agriculture, sylviculture et pêche",06,Sylviculture et exploitation forestière,01,Sylviculture,00,,01060100
01,"Agriculture, sylviculture et pêche",06,Sylviculture et exploitation forestière,02,Exploitation forestière - négoce du bois,00,,01060200
01,"Agriculture, sylviculture et pêche",06,Sylviculture et exploitation forestière,03,Récolte de produits forestiers non ligneux poussant à l'état sauvage,00,,01060300
01,"Agriculture, sylviculture et pêche",06,Sylviculture et exploitation forestière,04,Travaux forestiers,00,,01060400
01,"Agriculture, sylviculture et pêche",06,Sylviculture et exploitation forestière,05,Fourniture de matériel d'exploitation forestière ,00,,01060500
01,"Agriculture, sylviculture et pêche",06,Sylviculture et exploitation forestière,06,Entreprise de lutte contre les parasites,00,,01060600
01,"Agriculture, sylviculture et pêche",06,Sylviculture et exploitation forestière,07,"Conseil en gestion et administration de la forêt (technique, économique, juridique)",00,,01060700
01,"Agriculture, sylviculture et pêche",06,Sylviculture et exploitation forestière,08,"Bureau d""études ",00,,01060800
01,"Agriculture, sylviculture et pêche",06,Sylviculture et exploitation forestière,09,Défense contre les incendies,00,,01060900
01,"Agriculture, sylviculture et pêche",06,Sylviculture et exploitation forestière,10,Ingénieur forestier,00,,01061000
01,"Agriculture, sylviculture et pêche",06,Sylviculture et exploitation forestière,11,production et coupes bois par des particuliers propriétaires forestiers ,00,,01061100
01,"Agriculture, sylviculture et pêche",07,Pêche,01,Pêche maritime commerciale,00,,01070100
01,"Agriculture, sylviculture et pêche",07,Pêche,02,pêche maritime pratiquée sur des navires d'une longueur inférieure ou égale à douze mètres ou effectuant habituellement des sorties de moins de 24 heures ,00,,01070200
01,"Agriculture, sylviculture et pêche",07,Pêche,03,pêcheur maritime à pied professionnel,00,,01070300
01,"Agriculture, sylviculture et pêche",07,Pêche,04,Pêche en eau douce,01,Avec présence de viviers,01070401
