FILING_TYPE_ID,FILING_TYPE
3027,Certificate of Amendment (Prior To Effective Date)
4004,Amended Trade Name Report
4006,Transfer of Trade Name
4027,Certificate of Amendment (Prior To Effective Date)
43027,Certificate of Amendment (Prior To Effective Date)
13141,Withdrawal of Ouster
14141,Withdrawal of Ouster
15141,Withdrawal of Ouster
20004,Amended Trade Name Report
20006,Transfer of Trade Name
20016,Resignation of Registered Agent
18103,Amended Certificate Of Qualification With Mailing Address Change Only
13103,Amended Certificate Of Qualification With Mailing Address Change Only
13004,Amended Trade Name Report
13006,Transfer of Trade Name
13015,Appointment of Registered Agent
3005,Withdrawal of Trade Name Report
27006,Transfer of Trade Name
26043,Annual Agent Fee
25005,Withdrawal of Trade Name Report
24043,Annual Agent Fee
24004,Amended Trade Name Report
22006,Transfer of Trade Name
19129,Change of Registered Agent and/or Office and/or Principal Office
31003,Trade Name Report
31006,Transfer of Trade Name
29015,Appointment of Registered Agent
28046,Court Ordered Cancellation
28005,Withdrawal of Trade Name Report
36016,Resignation of Registered Agent
27004,Amended Trade Name Report
45003,Trade Name Report
39014,Change of Registered Agent and/or Office
34120,Statement of Denial
34003,Trade Name Report
34005,Withdrawal of Trade Name Report
33004,Amended Trade Name Report
33005,Withdrawal of Trade Name Report
33087,Change of Office Address
36140,Intent To Dissolve
37140,Intent To Dissolve
38140,Intent To Dissolve
39140,Intent To Dissolve
40140,Intent To Dissolve
41140,Intent To Dissolve
42140,Intent To Dissolve
44140,Intent To Dissolve
49140,Intent To Dissolve
48078,Final Official Statement
48081,Termination of Trust
48083,Appointment of Trustee
48086,Manual Signature
45055,Notice of Cancellation
44054,Change of Principal Place of Business Address
4005,Withdrawal of Trade Name Report
4008,Certificate of Correction
4028,Certificate of Termination (Prior to Effective Date)
3140,Intent To Dissolve
5140,Intent To Dissolve
7140,Intent To Dissolve
8140,Intent To Dissolve
9140,Intent To Dissolve
10140,Intent To Dissolve
12140,Intent To Dissolve
16140,Intent To Dissolve
17140,Intent To Dissolve
19140,Intent To Dissolve
20140,Intent To Dissolve
21140,Intent To Dissolve
22140,Intent To Dissolve
26140,Intent To Dissolve
27140,Intent To Dissolve
28140,Intent To Dissolve
29140,Intent To Dissolve
33140,Intent To Dissolve
35140,Intent To Dissolve
7027,Certificate of Amendment (Prior To Effective Date)
7028,Certificate of Termination (Prior to Effective Date)
7093,Amended Certificate of Incorporation with Increase in Stock
7094,Restated Certificate Of Incorporation With Increase In Stock
3007,Trade Name Transfer Recipient
3008,Certificate of Correction
3028,Certificate of Termination (Prior to Effective Date)
4003,Trade Name Report
3004,Amended Trade Name Report
7021,Certificate of Conversion
7022,Certificate of Renewal Revival Extension & Restoration
7023,Certificate of Acquisition
7024,Certificate of Designation
7025,Certificate of Dissolution
7026,Court Ordered Dissolution
7005,Withdrawal of Trade Name Report
7006,Transfer of Trade Name
7007,Trade Name Transfer Recipient
5009,Certificate of Fictitious Name
1002,Name Reservation Extension/Renewal
1001,Name Reservation
1092,Transfer of Name Reservation
2090,Name Reservation
2091,Name Reservation Extension/Renewal
2092,Transfer of Name Reservation
3003,Trade Name Report
7012,Certificate of Incorporation
5010,Amended Certificate of Fictitious Name
5011,Certificate of Cancellation of Fictitious Name
6010,Amended Certificate of Fictitious Name
7003,Trade Name Report
7004,Amended Trade Name Report
7014,Change of Registered Agent and/or Office
7015,Appointment of Registered Agent
7016,Resignation of Registered Agent
7018,Resignation of Former Registered Agent
7019,Certificate of Merger
7020,Certificate of Consolidation
7099,Certificate Of Amendment Of Merger (Prior To Effective Date)
7104,Certificate of Amendment of Consolidation (Prior To Effective Date)
7105,Certificate of Termination of Consolidation (Prior to Effective Date)
7107,Revocation of Dissolution
7108,OTC Suspension
7109,OTC Reinstatement
7095,Restated Certificate Of Incorporation
8004,Amended Trade Name Report
8005,Withdrawal of Trade Name Report
8006,Transfer of Trade Name
8007,Trade Name Transfer Recipient
8008,Certificate of Correction
7132,Administrative Agent Change
8012,Certificate of Incorporation
8013,Amended Certificate of Incorporation
8014,Change of Registered Agent and/or Office
8015,Appointment of Registered Agent
8016,Resignation of Registered Agent
8019,Certificate of Merger
8020,Certificate of Consolidation
8021,Certificate of Conversion
8022,Certificate of Renewal Revival Extension & Restoration
8017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
7135,OTC Suspension in Error
8003,Trade Name Report
8025,Certificate of Dissolution
8026,Court Ordered Dissolution
8028,Certificate of Termination (Prior to Effective Date)
8093,Amended Certificate of Incorporation with Increase in Stock
8024,Certificate of Designation
8018,Resignation of Former Registered Agent
8095,Restated Certificate Of Incorporation
8100,Certificate Of Termination Of Merger (Prior To Effective Date)
8104,Certificate of Amendment of Consolidation (Prior To Effective Date)
8105,Certificate of Termination of Consolidation (Prior to Effective Date)
9003,Trade Name Report
9004,Amended Trade Name Report
9005,Withdrawal of Trade Name Report
8107,Revocation of Dissolution
9006,Transfer of Trade Name
9008,Certificate of Correction
9012,Certificate of Incorporation
14005,Withdrawal of Trade Name Report
14015,Appointment of Registered Agent
14018,Resignation of Former Registered Agent
14006,Transfer of Trade Name
14020,Certificate of Consolidation
14023,Certificate of Acquisition
14027,Certificate of Amendment (Prior To Effective Date)
8108,OTC Suspension
8109,OTC Reinstatement
8132,Administrative Agent Change
8135,OTC Suspension in Error
14088,Certificate of Qualification(TAC)
14089,Certificate of Qualification(POC)
14099,Certificate Of Amendment Of Merger (Prior To Effective Date)
14028,Certificate of Termination (Prior to Effective Date)
14007,Trade Name Transfer Recipient
14008,Certificate of Correction
14014,Change of Registered Agent and/or Office
23036,Articles of Merger
23037,Articles of Consolidation
14100,Certificate Of Termination Of Merger (Prior To Effective Date)
23040,Annual Certificates
14030,Amended Certificate of Qualification
14031,Certificate of Withdrawal
23041,Certificate of Registration
9017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
14101,Withdrawal of Fictitious Name
14103,Amended Certificate Of Qualification With Mailing Address Change Only
9018,Resignation of Former Registered Agent
23042,Certificate of Amendment
23113,Cancelled
23129,Change of Registered Agent and/or Office and/or Principal Office
9015,Appointment of Registered Agent
9019,Certificate of Merger
9021,Certificate of Conversion
9022,Certificate of Renewal Revival Extension & Restoration
9023,Certificate of Acquisition
9025,Certificate of Dissolution
9027,Certificate of Amendment (Prior To Effective Date)
9028,Certificate of Termination (Prior to Effective Date)
9093,Amended Certificate of Incorporation with Increase in Stock
9094,Restated Certificate Of Incorporation With Increase In Stock
9095,Restated Certificate Of Incorporation
9026,Court Ordered Dissolution
9100,Certificate Of Termination Of Merger (Prior To Effective Date)
9104,Certificate of Amendment of Consolidation (Prior To Effective Date)
9105,Certificate of Termination of Consolidation (Prior to Effective Date)
9107,Revocation of Dissolution
9108,OTC Suspension
9109,OTC Reinstatement
9132,Administrative Agent Change
9135,OTC Suspension in Error
10003,Trade Name Report
9099,Certificate Of Amendment Of Merger (Prior To Effective Date)
10008,Certificate of Correction
10012,Certificate of Incorporation
10013,Amended Certificate of Incorporation
10014,Change of Registered Agent and/or Office
10015,Appointment of Registered Agent
10016,Resignation of Registered Agent
10018,Resignation of Former Registered Agent
10004,Amended Trade Name Report
10022,Certificate of Renewal Revival Extension & Restoration
10023,Certificate of Acquisition
10025,Certificate of Dissolution
10019,Certificate of Merger
10005,Withdrawal of Trade Name Report
10006,Transfer of Trade Name
10093,Amended Certificate of Incorporation with Increase in Stock
10095,Restated Certificate Of Incorporation
10026,Court Ordered Dissolution
10020,Certificate of Consolidation
10021,Certificate of Conversion
10105,Certificate of Termination of Consolidation (Prior to Effective Date)
10108,OTC Suspension
10109,OTC Reinstatement
10132,Administrative Agent Change
10099,Certificate Of Amendment Of Merger (Prior To Effective Date)
10135,OTC Suspension in Error
10027,Certificate of Amendment (Prior To Effective Date)
10028,Certificate of Termination (Prior to Effective Date)
12014,Change of Registered Agent and/or Office
12015,Appointment of Registered Agent
12016,Resignation of Registered Agent
12017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
12018,Resignation of Former Registered Agent
12003,Trade Name Report
10100,Certificate Of Termination Of Merger (Prior To Effective Date)
10104,Certificate of Amendment of Consolidation (Prior To Effective Date)
12025,Certificate of Dissolution
12019,Certificate of Merger
12004,Amended Trade Name Report
12005,Withdrawal of Trade Name Report
12006,Transfer of Trade Name
12007,Trade Name Transfer Recipient
12012,Certificate of Incorporation
12013,Amended Certificate of Incorporation
12095,Restated Certificate Of Incorporation
12026,Court Ordered Dissolution
12020,Certificate of Consolidation
12022,Certificate of Renewal Revival Extension & Restoration
12023,Certificate of Acquisition
12024,Certificate of Designation
12109,OTC Reinstatement
12132,Administrative Agent Change
12135,OTC Suspension in Error
12027,Certificate of Amendment (Prior To Effective Date)
12028,Certificate of Termination (Prior to Effective Date)
12093,Amended Certificate of Incorporation with Increase in Stock
13023,Certificate of Acquisition
13027,Certificate of Amendment (Prior To Effective Date)
12100,Certificate Of Termination Of Merger (Prior To Effective Date)
12104,Certificate of Amendment of Consolidation (Prior To Effective Date)
12107,Revocation of Dissolution
12108,OTC Suspension
13028,Certificate of Termination (Prior to Effective Date)
13005,Withdrawal of Trade Name Report
13007,Trade Name Transfer Recipient
13008,Certificate of Correction
13014,Change of Registered Agent and/or Office
13003,Trade Name Report
13018,Resignation of Former Registered Agent
13019,Certificate of Merger
13020,Certificate of Consolidation
13131,Resignation of Registered Agent
13030,Amended Certificate of Qualification
13031,Certificate of Withdrawal
13032,Annual Certificates - TAC
13088,Certificate of Qualification(TAC)
13089,Certificate of Qualification(POC)
13099,Certificate Of Amendment Of Merger (Prior To Effective Date)
14135,OTC Suspension in Error
13101,Withdrawal of Fictitious Name
13102,Amended Fictitious Name
13104,Certificate of Amendment of Consolidation (Prior To Effective Date)
13105,Certificate of Termination of Consolidation (Prior to Effective Date)
13108,OTC Suspension
13109,OTC Reinstatement
13110,Annual Certificates - Invested Capital
13111,Ousted
13135,OTC Suspension in Error
13137,Certificate of Conversion(POC)
14003,Trade Name Report
14004,Amended Trade Name Report
14105,Certificate of Termination of Consolidation (Prior to Effective Date)
13132,Administrative Agent Change
14108,OTC Suspension
14109,OTC Reinstatement
14110,Annual Certificates - Invested Capital
14111,Ousted
14131,Resignation of Registered Agent
14132,Administrative Agent Change
15005,Withdrawal of Trade Name Report
15007,Trade Name Transfer Recipient
15014,Change of Registered Agent and/or Office
15015,Appointment of Registered Agent
15018,Resignation of Former Registered Agent
14137,Certificate of Conversion(POC)
15020,Certificate of Consolidation
15030,Amended Certificate of Qualification
15031,Certificate of Withdrawal
15088,Certificate of Qualification(TAC)
14139,Certificate of Conversion(TAC)
15003,Trade Name Report
15103,Amended Certificate Of Qualification With Mailing Address Change Only
15104,Certificate of Amendment of Consolidation (Prior To Effective Date)
15089,Certificate of Qualification(POC)
15027,Certificate of Amendment (Prior To Effective Date)
15028,Certificate of Termination (Prior to Effective Date)
16004,Amended Trade Name Report
16005,Withdrawal of Trade Name Report
16006,Transfer of Trade Name
16007,Trade Name Transfer Recipient
15099,Certificate Of Amendment Of Merger (Prior To Effective Date)
15100,Certificate Of Termination Of Merger (Prior To Effective Date)
15101,Withdrawal of Fictitious Name
15102,Amended Fictitious Name
16008,Certificate of Correction
15108,OTC Suspension
15109,OTC Reinstatement
15110,Annual Certificates - Invested Capital
15111,Ousted
15131,Resignation of Registered Agent
15132,Administrative Agent Change
15135,OTC Suspension in Error
15139,Certificate of Conversion(TAC)
15105,Certificate of Termination of Consolidation (Prior to Effective Date)
16003,Trade Name Report
16013,Amended Certificate of Incorporation
16014,Change of Registered Agent and/or Office
16015,Appointment of Registered Agent
16016,Resignation of Registered Agent
16018,Resignation of Former Registered Agent
16019,Certificate of Merger
16022,Certificate of Renewal Revival Extension & Restoration
16025,Certificate of Dissolution
16026,Court Ordered Dissolution
16027,Certificate of Amendment (Prior To Effective Date)
16020,Certificate of Consolidation
16100,Certificate Of Termination Of Merger (Prior To Effective Date)
16105,Certificate of Termination of Consolidation (Prior to Effective Date)
16028,Certificate of Termination (Prior to Effective Date)
16108,OTC Suspension
16109,OTC Reinstatement
16021,Certificate of Conversion
17012,Certificate of Incorporation
16132,Administrative Agent Change
17013,Amended Certificate of Incorporation
17014,Change of Registered Agent and/or Office
17015,Appointment of Registered Agent
17016,Resignation of Registered Agent
16095,Restated Certificate Of Incorporation
16099,Certificate Of Amendment Of Merger (Prior To Effective Date)
17023,Certificate of Acquisition
17017,Resignation of Registered Agent Coupled with Appointment of Successor Agent
